#timestamp [ns], b_x, b_y, b_z
1542883311669949472,-14.1583929062,64.2069854736,127.904533386
1542883311675239968,-13.9703989029,63.9481430054,127.633460999
1542883311680501440,-13.8200035095,63.7410697937,127.416603088
1542883311685734208,-13.6277675629,64.0411148071,128.279830933
1542883311688608448,-13.4739789963,64.2811508179,128.970413208
1542883311693683264,-13.3509483337,64.4731750488,129.522888184
1542883311698777024,-13.2525234222,64.6267929077,129.964859009
1542883311703895392,-13.1737833023,64.7496871948,130.318435669
1542883311708956384,-13.5271663666,64.6972732544,130.156677246
1542883311714065728,-13.8098726273,64.6553421021,130.027282715
1542883311719159776,-14.0360383987,64.6217956543,129.92376709
1542883311724266784,-14.2169704437,64.5949630737,129.840942383
1542883311729400384,-14.3617162704,64.5734939575,129.774688721
1542883311734725728,-14.1213779449,64.5454788208,129.339584351
1542883311740011200,-13.9291067123,64.5230636597,128.991500854
1542883311745145408,-13.7752904892,64.5051345825,128.713027954
1542883311750216896,-13.6522369385,64.4907913208,128.490249634
1542883311755318496,-13.5537939072,64.4793167114,128.312026978
1542883311760413280,-13.6574039459,64.6380310059,129.182174683
1542883311765505664,-13.7402915955,64.765007019,129.878295898
1542883311768395776,-13.8066015244,64.8665847778,130.435195923
1542883311773523200,-13.8596496582,64.947845459,130.880706787
1542883311778716704,-13.9020881653,65.0128555298,131.237121582
1542883311783921888,-13.869137764,65.052192688,130.707519531
1542883311789056064,-13.8427772522,65.0836639404,130.283843994
1542883311794466240,-13.821688652,65.1088409424,129.944900513
1542883311799619104,-13.8048181534,65.1289825439,129.673751831
1542883311804838752,-13.7913217545,65.1450958252,129.456832886
1542883311809941824,-13.4271879196,65.0199737549,130.538848877
1542883311815010432,-13.1358804703,64.9198760986,131.404464722
1542883311820077472,-12.9028348923,64.8397979736,132.096954346
1542883311825213728,-12.7163982391,64.7757415771,132.6509552
1542883311830354144,-12.5672483444,64.7244949341,133.094146729
1542883311835682528,-12.9458818436,64.8205871582,131.976837158
1542883311838587808,-13.2487888336,64.8974609375,131.082977295
1542883311843656512,-13.4911146164,64.9589614868,130.367889404
1542883311848787200,-13.6849746704,65.0081634521,129.795822144
1542883311853910432,-13.8400630951,65.0475234985,129.338165283
1542883311859068192,-13.6593580246,65.0835571289,129.610870361
1542883311864322560,-13.514793396,65.1123809814,129.829040527
1542883311869453728,-13.3991422653,65.1354446411,130.003570557
1542883311874556416,-13.3066215515,65.1538925171,130.143203735
1542883311879997472,-13.2326049805,65.1686553955,130.25491333
1542883311885423040,-13.1870031357,65.0270385742,130.136169434
1542883311890603488,-13.1505212784,64.9137496948,130.041183472
1542883311893523552,-13.1213359833,64.8231124878,129.965194702
1542883311898623776,-13.0979881287,64.7506027222,129.904403687
1542883311903735104,-13.0793094635,64.6925964355,129.855758667
1542883311908815744,-13.3341932297,64.3456726074,129.586654663
1542883311913888064,-13.5381002426,64.0681381226,129.371368408
1542883311918983392,-13.7012262344,63.8461074829,129.199142456
1542883311924063904,-13.8317270279,63.6684837341,129.061355591
1542883311929398912,-13.9361276627,63.5263824463,128.951126099
1542883311934556288,-13.509147644,63.8576049805,128.9090271
1542883311939737920,-13.1675643921,64.1225814819,128.875350952
1542883311944887776,-12.8942975998,64.334564209,128.848419189
1542883311950065056,-12.6756839752,64.5041503906,128.826873779
1542883311955179648,-12.500793457,64.6398162842,128.809631348
1542883311960310176,-12.8733119965,64.4541549683,128.751647949
1542883311965397344,-13.1713266373,64.3056259155,128.70526123
1542883311970515456,-13.4097385406,64.1867980957,128.668151855
1542883311975884192,-13.6004676819,64.0917358398,128.638458252
1542883311978760928,-13.7530517578,64.0156860352,128.614700317
1542883311984051744,-13.3432807922,63.9503555298,128.842315674
1542883311989258048,-13.0154647827,63.8980903625,129.024414062
1542883311994398208,-12.7532119751,63.8562812805,129.170089722
