#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1542883311685734208,-0.0231822356582,-0.0138560486957,-0.0566232763231,0.665588061523,6.77319649658,3.84029946289
1542883311688608448,-0.0123905055225,-0.00399693707004,-0.0528928004205,1.63284553223,8.95431420898,5.52581743164
1542883311693683264,-0.0187856052071,-0.0066615617834,-0.0534257255495,0.596156213379,7.59919606934,4.78600911865
1542883311698777024,-0.0178529862314,-0.00732771819457,-0.053159262985,0.469263525391,8.61912597656,4.16591088867
1542883311703895392,-0.0155880553648,-0.00399693707004,-0.0552909635007,0.438138903809,9.29429084473,4.63756861572
1542883311708956384,-0.0189188364893,-0.00692802434787,-0.0543583445251,0.902614025879,8.23605371094,4.51307012939
1542883311714065728,-0.0214502289891,-0.00413016835228,-0.0536921881139,0.531512768555,8.73404765625,4.08690223389
1542883311719159776,-0.019851455465,-0.0143889738247,-0.0566232763231,0.332794030762,8.6526447998,4.2185833252
1542883311724266784,-0.019318530336,-0.00492955604568,-0.0515604875982,1.10133276367,8.63827958984,5.62158549805
1542883311729400384,-0.0197182241827,-0.00466309348121,-0.0540918819606,1.15639940186,7.6255322876,4.60644399414
1542883311734725728,-0.0206508412957,-0.0129234297201,-0.054891269654,0.112527478027,8.78432589111,3.80199223633
1542883311740011200,-0.0174532923847,0.00559571199119,-0.0543583445251,1.09415015869,8.41561883545,4.9392380249
1542883311745145408,-0.0167871359736,-0.0133231235668,-0.0563568137586,0.950498059082,8.07803640137,4.45560928955
1542883311750216896,-0.0201179161668,0.00159877492115,-0.0563568137586,1.00317049561,7.94874951172,3.80678063965
1542883311755318496,-0.0159877482802,-0.0127901993692,-0.0546248070896,0.105344873047,7.60637867432,3.07894333496
1542883311760413280,-0.0201179161668,-0.00199846853502,-0.0542251132429,0.665588061523,8.2025348877,5.11640894775
1542883311765505664,-0.0173200611025,-0.010392036289,-0.0507611036301,1.25456166992,7.5896192627,5.42526096191
1542883311768395776,-0.0191852990538,-0.0110581927001,-0.0532924942672,0.780509741211,8.16662186279,5.8107274292
1542883311773523200,-0.0138560486957,-0.00439663091674,-0.0512940250337,1.40060797119,8.79629689941,5.92086070557
1542883311778716704,-0.0182526800781,-0.012124042958,-0.0519601814449,1.75255561523,9.04050546875,5.76523759766
1542883311783921888,-0.0142557425424,0.000399693730287,-0.04956202209,2.28406838379,8.9231895874,5.2217538208
1542883311789056064,-0.019851455465,-0.0114578865469,-0.0547580383718,0.76614453125,9.02853446045,4.00310517578
1542883311794466240,-0.0179862175137,-0.000266462477157,-0.0540918819606,1.47003981934,8.47068547363,4.9512090332
1542883311799619104,-0.0159877482802,-0.012124042958,-0.0522266440094,0.91458503418,7.83382783203,4.94163222656
1542883311804838752,-0.0221163854003,-0.00066615617834,-0.0542251132429,0.543483776855,7.32386287842,4.85304676514
1542883311809941824,-0.0113246552646,-0.0125237368047,-0.0520934127271,0.134075292969,10.1178962158,5.34625230713
1542883311815010432,-0.0189188364893,0.000532924954314,-0.0491623282433,0.656011254883,8.14986245117,5.52342322998
1542883311820077472,-0.0150551302359,-0.0113246552646,-0.0546248070896,0.794874951172,7.46512077637,4.22097752686
1542883311825213728,-0.0210505351424,-0.00439663091674,-0.0524931065738,0.14844050293,9.2176763916,3.89776030273
1542883311830354144,-0.0137228174135,-0.00506278686225,-0.0502281785011,0.866701000977,9.23443580322,5.1978118042
1542883311835682528,-0.0186523739249,-0.00266462471336,-0.0488958656788,1.12527478027,8.15943925781,5.15711037598
1542883311838587808,-0.0159877482802,-0.00892649311572,-0.0523598752916,-0.320823022461,9.48582697754,4.25928475342
1542883311843656512,-0.0123905055225,-0.00719448691234,-0.0516937188804,0.478840332031,9.69172832031,5.22414802246
1542883311848787200,-0.0218499228358,-0.00133231235668,-0.0510275661945,1.15639940186,8.35815799561,5.05655390625
